Age,Salary
59,48032.53663722901
31,78659.67260381072
46,87902.52121487672
20,93250.83732909046
43,102126.50680630353
54,86180.10342649318
53,42010.519079372316
57,86624.26051458289
33,47540.55472104156
51,106619.93318378141
55,65649.73477099644
43,70274.83322440127
48,72255.21054899975
41,49805.12551639275
18,31041.317801124893
51,104350.18326353731
58,111819.13776859645
40,83875.70857236913
40,56451.34758130435
31,31479.130017810065
32,35781.31696145412
58,61083.628457517436
45,90128.08058592587
35,50437.71949836984
19,36275.68790146979
49,98819.30549517147
59,30803.265857757833
57,111333.80692968491
59,105766.74659814581
24,48916.17037866373
47,106405.69543020036
46,44879.93539092839
24,37985.399323468446
28,31635.554729648968
28,73206.69805136783
19,91356.35598720638
38,65902.38366200129
43,48125.19217091883
43,117394.51945103086
52,68987.10670012658
39,45699.235679486024
42,52956.77062571505
42,106101.1052217773
56,97261.71356253457
30,84083.68295743529
22,41782.56460128804
27,70020.97126373192
35,101218.63571154304
37,46915.9020725046
50,61269.47957079089
41,88197.86762139015
47,87311.41704087361
21,114829.81857357813
25,69386.56549522802
58,89289.27683872968
35,89832.65107946977
20,63148.55599722022
44,63931.44807056341
53,91712.59914447505
54,119482.60084867237
36,56650.33722975879
43,119271.45702557643
23,57445.80744033861
49,70539.20076109827
18,39248.87271422109
43,73979.48539537552
21,59877.48521555836
40,46866.48315214676
28,40064.91335221941
45,39433.101646673684
20,100283.39152261277
58,61600.08270284893
38,37444.05665046025
27,82884.74498732203
54,66930.9285386765
32,37618.66676388175
55,90607.69333189404
46,107943.55202353757
24,74155.90818811445
39,56842.757215146274
52,38576.60736511857
39,89138.24011777
52,84395.02962451609
19,53731.876325264995
33,73915.2571597517
30,47170.338412384575
19,62348.55853656254
42,34718.81152513622
24,93603.11561239966
52,82639.40202916856
36,116292.4533671284
25,116801.75399753383
40,90832.51153470746
36,76051.50841522389
35,51837.70391006883
18,43203.30959114652
52,46617.95991124522
55,106597.1260353984
41,82268.55790759713
53,43938.336243629674
53,66705.248153793
35,62073.14271265657
57,73031.5272605406
23,110131.75005903584
23,73930.48959152255
59,60263.76825567002
43,80062.54794600204
41,48751.91034164147
52,45900.919276581044
50,82926.14270184323
46,90599.1953909962
25,39366.70396060667
35,66087.24286521671
57,45499.2573609847
48,68605.22949221406
34,110197.63907996927
54,93495.65128966715
57,105901.63668949727
41,58465.15449472742
36,103872.28795020442
58,94779.18627107979
44,81251.16303550586
39,33221.22308533584
47,109199.60480002702
32,92115.11975454635
51,100636.71393395147
33,45441.81647753489
24,45423.08866793871
51,98349.07363762309
47,97971.78579563576
30,65503.77681262822
27,30258.693068382247
46,111427.01632312084
49,101405.07357254373
46,83931.57032058557
22,86732.69580504694
24,30684.35507678436
36,43293.61341580494
